Bug ID,Date,Area,Route,Title,Status,Severity,Steps to Reproduce,Root Cause,Fix Implemented,Verification
BUG-001,2026-04-04,Frontend,/ (landing page),Parcel warns about redundant Babel config on app start,Resolved,Low,"1) Run npm run dev:frontend from repo root; 2) Observe startup logs; 3) Warning references frontend/.babelrc and @babel/preset-env",Parcel already performs transpilation and the custom Babel presets were redundant for this setup,Removed frontend/.babelrc to rely on Parcel default transpilation target handling,"Restarted frontend dev server; startup completes and warning is no longer emitted"
BUG-002,2026-04-07,Backend,PUT /api/one-time-entries/:entryId,Missing async/await on findCurrentUser — returns Promise instead of user,Resolved,Critical,"1) PUT /api/one-time-entries/:id with valid token; 2) Handler gets a Promise not the user object; 3) user.email fails",findCurrentUser is async but handler was sync and did not await the call,"Added async to handler, await on findCurrentUser and service calls",Tests pass with correct user resolution
BUG-003,2026-04-07,Backend,DELETE /api/one-time-entries/:entryId,Missing async/await on findCurrentUser — returns Promise instead of user,Resolved,Critical,Same pattern as BUG-002,Same root cause — sync handler calling async function,"Added async to handler, await on findCurrentUser and service calls",Tests pass
BUG-004,2026-04-07,Backend,GET /api/bank-sync/status,Missing async/await on findCurrentUser — returns Promise instead of user,Resolved,Critical,Same pattern as BUG-002,Same root cause,"Added async to handler, await on findCurrentUser",Tests pass
BUG-005,2026-04-07,Backend,POST /api/bank-sync/mock-link,Missing async/await on findCurrentUser — returns Promise instead of user,Resolved,Critical,Same pattern as BUG-002,Same root cause,"Added async to handler, await on findCurrentUser",Tests pass
BUG-006,2026-04-07,Backend,POST /api/bank-sync/mock-ingest,Missing async/await on findCurrentUser — returns Promise instead of user,Resolved,Critical,Same pattern as BUG-002,Same root cause,"Added async to handler, await on findCurrentUser",Tests pass
BUG-007,2026-04-07,Backend,GET /api/recurring-obligations,Missing async/await on findCurrentUser — returns Promise instead of user,Resolved,Critical,Same pattern as BUG-002,Same root cause,"Added async to handler, await on findCurrentUser",Tests pass
BUG-008,2026-04-07,Backend Tests,account.test.js,getFreshToken extracts token from res.body.token instead of res.body.data.token,Resolved,High,"1) Run account tests; 2) Token is undefined; 3) All authenticated requests fail with 401",API wraps responses in { success: true; data: {...} } but test reads top-level .token,"Changed res.body.token to res.body.data.token in getFreshToken helper",Account tests pass
BUG-009,2026-04-07,Backend Tests,recurring-obligations.test.js,registerAndLogin extracts token from loginResponse.body.token instead of loginResponse.body.data.token,Resolved,High,Same pattern as BUG-008,Same root cause,Changed to loginResponse.body.data.token,Tests pass
BUG-010,2026-04-07,Backend Tests,session.test.js,Hardcoded email session@example.com causes 409 Conflict on repeat runs,Resolved,High,"1) Run tests twice without DB reset; 2) Second run gets 409 on registration",Hardcoded email persists in DB across test runs,Generated unique email per test run,Tests idempotent
BUG-011,2026-04-07,Backend Tests,login.test.js,Hardcoded email login@example.com causes 409 Conflict on repeat runs,Resolved,High,Same pattern as BUG-010,Same root cause,Generated unique email per test run,Tests idempotent
BUG-012,2026-04-07,Backend Tests,password-reset.test.js,Hardcoded email reset@example.com causes 409 Conflict on repeat runs,Resolved,High,Same pattern as BUG-010,Same root cause,Generated unique email per test run,Tests idempotent
BUG-013,2026-04-07,Backend Tests,one-time-entries.test.js,Hardcoded emails for invalid/dashboard/precision tests cause 409 on repeat runs,Resolved,High,Same pattern as BUG-010,Same root cause,Replaced all hardcoded emails with unique generated emails,Tests idempotent
BUG-014,2026-04-07,Backend Tests,recurring-obligations.test.js,Hardcoded emails recurring-obligations-* cause 409 on repeat runs,Resolved,High,Same pattern as BUG-010,Same root cause,Replaced with unique generated emails,Tests idempotent
BUG-015,2026-04-07,Backend Tests,recurring-payments.test.js,Hardcoded emails recurring-dashboard/rollover@example.com cause 409 on repeat runs,Resolved,High,Same pattern as BUG-010,Same root cause,Replaced with unique generated emails,Tests idempotent
BUG-016,2026-04-07,Backend Tests,bank-sync.test.js,Hardcoded email bank-invalid@example.com causes 409 on repeat runs,Resolved,High,Same pattern as BUG-010,Same root cause,Replaced with unique generated email,Tests idempotent
BUG-017,2026-04-07,Backend Tests,one-time-entries.test.js,Response shape: tests check res.body.oneTimeEntry instead of res.body.data.oneTimeEntry,Resolved,High,"1) Run one-time-entries tests; 2) Assertions fail because data is nested under .data",apiResponse.success wraps payload in { data: ... },Updated all assertions to use res.body.data prefix,Tests pass
BUG-018,2026-04-07,Backend Tests,one-time-entries.test.js,Dashboard assertions check res.body.totals instead of res.body.data.totals,Resolved,High,Same pattern as BUG-017,Same root cause,Updated assertions to use res.body.data prefix,Tests pass
BUG-019,2026-04-07,Backend Tests,recurring-payments.test.js,Dashboard assertions check res.body.recurringDataSource instead of res.body.data.recurringDataSource,Resolved,High,Same pattern as BUG-017,Same root cause,Updated assertions to use res.body.data prefix,Tests pass
BUG-020,2026-04-07,Backend Tests,recurring-obligations.test.js,Assertions check res.body.recurringObligations instead of res.body.data.recurringObligations,Resolved,High,Same pattern as BUG-017,Same root cause,Updated assertions to use res.body.data prefix,Tests pass
BUG-021,2026-04-07,Backend Tests,bank-sync.test.js,Assertions check res.body.metadata instead of res.body.data.metadata,Resolved,High,Same pattern as BUG-017,Same root cause,Updated assertions to use res.body.data prefix,Tests pass
BUG-022,2026-04-07,Backend,services/authService.js,JWT_SECRET falls back to hardcoded dev_secret — production risk,Resolved,Critical,"1) Deploy without JWT_SECRET env var; 2) All tokens signed with guessable secret",Missing guard for production environment,"Added runtime check: throw if JWT_SECRET missing in production, use dev_secret only in dev/test",Verified with unit check
BUG-023,2026-04-07,Backend,middleware/authenticateJWT.js,JWT verification falls back to hardcoded dev_secret — same production risk,Resolved,Critical,Same pattern as BUG-022,Same root cause,Applied same JWT_SECRET guard pattern,Verified
BUG-024,2026-04-07,Backend,services/authService.js,normalizeEmail imported from legacy in-memory data/userStore.js instead of db/userStore.js,Resolved,Medium,"1) Inspect imports; 2) authService imports from data/userStore while persistence uses db/userStore",Leftover from pre-DB migration — dual user store confusion,Moved normalizeEmail to db/userStore.js and updated imports,Imports consolidated
BUG-025,2026-04-07,Backend,prisma/schema.prisma,OneTimeEntry model missing createdAt/updatedAt — code writes them causing Prisma validation errors,Resolved,Medium,"1) Create a one-time entry; 2) Prisma rejects unknown field createdAt",Schema lacked timestamp columns that application code references,"Added createdAt DateTime @default(now()) and updatedAt DateTime @updatedAt to OneTimeEntry model",Schema matches code
BUG-026,2026-04-07,Backend,prisma/schema.prisma,No onDelete cascade on foreign key relations — orphaned records on profile deletion,Resolved,Medium,"1) Delete a FinancialProfile; 2) Related OneTimeEntry/RecurringPayment rows remain orphaned",Prisma defaults to no cascade,Added onDelete: Cascade to all child relation fields,Schema includes cascading deletes
BUG-027,2026-04-07,Backend,register.js,Duplicate RECURRING_PAYMENTS deprecation constant (top and bottom of file),Resolved,Low,"1) Read register.js; 2) RECURRING_PAYMENTS_DEPRECATION_MESSAGE at line 27 and RECURRING_PAYMENTS_DEPRECATION at line 249",Copy-paste leftover,Removed top-level RECURRING_PAYMENTS_DEPRECATION_MESSAGE and consolidated to single constant at bottom,Single constant
BUG-028,2026-04-07,Frontend,frontend/Account.js,Account.js reads data.fullname instead of data.data.fullname for wrapped API response,Resolved,Medium,"1) Load account page; 2) Profile fields show blank because data is nested under .data",API returns { success: true; data: { fullname; email } } but frontend reads top level,Updated to extract from data.data when present,Profile renders correctly
